Demo-ResponseID,QType,Condition,Dataset,Task,Coord,Response,DatasetOrder,TaskOrder
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,NumHighDegree,NA,22,2,8
R_2CJlxPVOq40Kmxe,Exp,Ctrl,1,NumHighDegree,NA,30,2,8
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,NumHighDegree,NA,100,2,7
R_3Jx9Rmx7OIyFX2Q,Exp,Ctrl,1,NumHighDegree,NA,20,1,3
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,NumHighDegree,NA,60,3,7
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,NumHighDegree,NA,25,3,7
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,NumHighDegree,NA,20,2,1
R_245HR5qf4i26YuB,Exp,Ctrl,1,NumHighDegree,NA,30,2,8
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,NumHighDegree,NA,200,3,5
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,NumHighDegree,NA,20,2,5
R_10IubgweXpWotmV,Exp,Ctrl,1,NumHighDegree,NA,25,2,1
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,NumHighDegree,NA,15,1,2
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,NumHighDegree,NA,20,1,5
R_2WO6qswPY1xZfmu,Exp,Ctrl,1,NumHighDegree,NA,30,2,6
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,NumHighDegree,NA,40,1,1
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,NumHighDegree,NA,12,2,9
R_uet7UtnWMSL9e93,Exp,Ctrl,1,NumHighDegree,NA,20,1,4
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,NumHighDegree,NA,40,3,4
R_Cmol1id0CtT1nvH,Exp,Ctrl,1,NumHighDegree,NA,100,1,1
R_PI124y0stIWTPEJ,Exp,Ctrl,1,NumHighDegree,NA,20,1,6
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,NumHighDegree,NA,80,2,8
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,NumHighDegree,NA,28,3,6
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,NumHighDegree,NA,20,1,3
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,NumHighDegree,NA,24,2,1
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,NumHighDegree,NA,25,2,1
R_b43e3ri4GTS9iOR,Exp,Ctrl,1,NumHighDegree,NA,40,2,4
R_sNWCgNnh8BjhxlL,Exp,Ctrl,1,NumHighDegree,NA,1000,3,4
R_3RqKAcO9ROqWqN8,Exp,Ctrl,1,NumHighDegree,NA,26,3,3
R_1IuAyejJJGlWyM2,Exp,Ctrl,1,NumHighDegree,NA,25,2,3
R_QgOzhzGgb18gj9T,Exp,Ctrl,1,NumHighDegree,NA,120,1,5
R_3qjNDydmEsYhWPf,Exp,Ctrl,1,NumHighDegree,NA,20,1,1
R_aiaGnR9abM343Hb,Exp,Ctrl,1,NumHighDegree,NA,17,1,7
R_1DzNm3T7cdPfJOF,Exp,Ctrl,1,NumHighDegree,NA,36,1,9
R_2SicdlEiS4QFlxC,Exp,Ctrl,1,NumHighDegree,NA,17,1,4
R_2pQqNuyAcftDMeo,Exp,Ctrl,1,NumHighDegree,NA,125,3,1
R_Q5IrI9t8qil4nmN,Exp,Ctrl,1,NumHighDegree,NA,25,1,3
R_z6BS2dmBgIWvJNn,Exp,Ctrl,1,NumHighDegree,NA,20,2,5
R_1CI3aCGE5xKCFCj,Exp,Ctrl,1,NumHighDegree,NA,50,3,1
R_2fwjQEliDHspYNx,Exp,Ctrl,1,NumHighDegree,NA,15,3,9
R_x4scLYm0fIiArnj,Exp,Ctrl,1,NumHighDegree,NA,40,1,6
R_337NYq2bxJfecSN,Exp,Ctrl,1,NumHighDegree,NA,20,3,7
R_2YynfVWT2jq4LyT,Exp,Ctrl,1,NumHighDegree,NA,25,3,1
R_2zNIzg2C6m2qsBI,Exp,Ctrl,1,NumHighDegree,NA,14,3,2
R_RnmRhX6Xw5EGdcB,Exp,Ctrl,1,NumHighDegree,NA,24,1,9
R_UfOSvzbMxnRgwDL,Exp,Ctrl,1,NumHighDegree,NA,10,3,5
R_2qr7KgyabK6sQ8w,Exp,Ctrl,1,NumHighDegree,NA,100,2,8
R_2b15UKnjwpnBStk,Exp,Ctrl,1,NumHighDegree,NA,20,2,2
R_OBxAbSyLyJ6sInL,Exp,Ctrl,1,NumHighDegree,NA,45,2,8
R_p4wUuqXU6Gwvdsd,Exp,Ctrl,1,NumHighDegree,NA,35,2,5
R_3P655E62t7ufi2T,Exp,Ctrl,1,NumHighDegree,NA,20,2,3
R_9BSXN7lOzq3H5kd,Exp,Ctrl,1,NumHighDegree,NA,25,1,2
R_2E66vKkii2jLqm7,Exp,Ctrl,1,NumHighDegree,NA,15,2,8
R_33wqVd2VWgIIZxm,Exp,Ctrl,1,NumHighDegree,NA,586,3,7
R_1LtYLpObTUqguYp,Exp,Ctrl,1,NumHighDegree,NA,100,2,3
R_3GpSsefaRA2fKPn,Exp,Ctrl,1,NumHighDegree,NA,10,2,4
R_OvcnhhuTcC1NrUd,Exp,Ctrl,1,NumHighDegree,NA,11,2,9
R_25ZAlyZ4JbMsmjY,Exp,Ctrl,1,NumHighDegree,NA,40,2,4
R_3D8EknclrlmOC7O,Exp,Ctrl,1,NumHighDegree,NA,200,1,3
R_3q9GgzKbk1Otp5O,Exp,Ctrl,1,NumHighDegree,NA,15,1,7
R_qU6wX1va4fIlkbv,Exp,Ctrl,1,NumHighDegree,NA,40,1,3
R_1HbfKcFKifrMMlc,Exp,Ctrl,1,NumHighDegree,NA,20,3,8
R_b7rKdHburf18qWJ,Exp,Ctrl,1,NumHighDegree,NA,200,1,3
R_1GIwzHXFwM5GaAN,Exp,Ctrl,1,NumHighDegree,NA,23,3,5
R_3CTSa5wMpWHZtWE,Exp,Ctrl,1,NumHighDegree,NA,25,1,6
R_2anUpyXVLx94k1W,Exp,Ctrl,1,NumHighDegree,NA,100,3,6
R_2qa3hYvHBBxnKIN,Exp,Ctrl,1,NumHighDegree,NA,22,1,6
R_SNTJVpXYyCDa1mp,Exp,Ctrl,1,NumHighDegree,NA,22,1,7
R_2SccHh5ZoHws5d7,Exp,Ctrl,1,NumHighDegree,NA,200,2,3
R_1C6ZLfppnr2hHJ3,Exp,Ctrl,1,NumHighDegree,NA,25,3,9
R_8d1VqNkok6YG0zD,Exp,Ctrl,1,NumHighDegree,NA,15,3,6
R_1PRB2ZJPaDyYg5u,Exp,Ctrl,1,NumHighDegree,NA,550,1,3
R_x8YEnmKnNoodq4p,Exp,Ctrl,1,NumHighDegree,NA,20,1,5
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,ClickHighDeg,X1,363,2,5
R_2CJlxPVOq40Kmxe,Exp,Ctrl,1,ClickHighDeg,X1,396,2,2
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,ClickHighDeg,X1,477,2,8
R_3Jx9Rmx7OIyFX2Q,Exp,Ctrl,1,ClickHighDeg,X1,399,1,8
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,ClickHighDeg,X1,471,3,4
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,ClickHighDeg,X1,471,3,5
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,ClickHighDeg,X1,433,2,8
R_245HR5qf4i26YuB,Exp,Ctrl,1,ClickHighDeg,X1,516,2,6
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,ClickHighDeg,X1,474,3,1
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,ClickHighDeg,X1,399,2,4
R_1r9qJKxToNfDv4T,Exp,Ctrl,1,ClickHighDeg,X1,468,3,2
R_10IubgweXpWotmV,Exp,Ctrl,1,ClickHighDeg,X1,436,2,6
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,ClickHighDeg,X1,430,1,4
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,ClickHighDeg,X1,382,1,6
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,ClickHighDeg,X1,377,1,3
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,ClickHighDeg,X1,435,2,3
R_uet7UtnWMSL9e93,Exp,Ctrl,1,ClickHighDeg,X1,385,1,6
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,ClickHighDeg,X1,395,3,5
R_Cmol1id0CtT1nvH,Exp,Ctrl,1,ClickHighDeg,X1,383,1,7
R_PI124y0stIWTPEJ,Exp,Ctrl,1,ClickHighDeg,X1,380,1,7
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,ClickHighDeg,X1,472,2,6
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,ClickHighDeg,X1,382,3,8
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,ClickHighDeg,X1,383,1,4
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,ClickHighDeg,X1,475,2,9
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,ClickHighDeg,X1,473,2,2
R_b43e3ri4GTS9iOR,Exp,Ctrl,1,ClickHighDeg,X1,473,2,3
R_sNWCgNnh8BjhxlL,Exp,Ctrl,1,ClickHighDeg,X1,396,3,7
R_3RqKAcO9ROqWqN8,Exp,Ctrl,1,ClickHighDeg,X1,394,3,1
R_1IuAyejJJGlWyM2,Exp,Ctrl,1,ClickHighDeg,X1,398,2,7
R_QgOzhzGgb18gj9T,Exp,Ctrl,1,ClickHighDeg,X1,437,1,1
R_3qjNDydmEsYhWPf,Exp,Ctrl,1,ClickHighDeg,X1,392,1,4
R_aiaGnR9abM343Hb,Exp,Ctrl,1,ClickHighDeg,X1,473,1,4
R_1DzNm3T7cdPfJOF,Exp,Ctrl,1,ClickHighDeg,X1,437,1,8
R_2SicdlEiS4QFlxC,Exp,Ctrl,1,ClickHighDeg,X1,310,1,6
R_2pQqNuyAcftDMeo,Exp,Ctrl,1,ClickHighDeg,X1,320,3,2
R_Q5IrI9t8qil4nmN,Exp,Ctrl,1,ClickHighDeg,X1,382,1,6
R_z6BS2dmBgIWvJNn,Exp,Ctrl,1,ClickHighDeg,X1,383,2,7
R_1CI3aCGE5xKCFCj,Exp,Ctrl,1,ClickHighDeg,X1,438,3,5
R_2fwjQEliDHspYNx,Exp,Ctrl,1,ClickHighDeg,X1,433,3,5
R_x4scLYm0fIiArnj,Exp,Ctrl,1,ClickHighDeg,X1,436,1,3
R_337NYq2bxJfecSN,Exp,Ctrl,1,ClickHighDeg,X1,396,3,3
R_2YynfVWT2jq4LyT,Exp,Ctrl,1,ClickHighDeg,X1,385,3,4
R_2zNIzg2C6m2qsBI,Exp,Ctrl,1,ClickHighDeg,X1,395,3,7
R_RnmRhX6Xw5EGdcB,Exp,Ctrl,1,ClickHighDeg,X1,438,1,2
R_UfOSvzbMxnRgwDL,Exp,Ctrl,1,ClickHighDeg,X1,395,3,2
R_2qr7KgyabK6sQ8w,Exp,Ctrl,1,ClickHighDeg,X1,475,2,3
R_2b15UKnjwpnBStk,Exp,Ctrl,1,ClickHighDeg,X1,397,2,7
R_p4wUuqXU6Gwvdsd,Exp,Ctrl,1,ClickHighDeg,X1,396,2,9
R_3P655E62t7ufi2T,Exp,Ctrl,1,ClickHighDeg,X1,435,2,6
R_9BSXN7lOzq3H5kd,Exp,Ctrl,1,ClickHighDeg,X1,383,1,1
R_2E66vKkii2jLqm7,Exp,Ctrl,1,ClickHighDeg,X1,395,2,1
R_33wqVd2VWgIIZxm,Exp,Ctrl,1,ClickHighDeg,X1,395,3,2
R_1LtYLpObTUqguYp,Exp,Ctrl,1,ClickHighDeg,X1,436,2,1
R_3GpSsefaRA2fKPn,Exp,Ctrl,1,ClickHighDeg,X1,438,2,2
R_OvcnhhuTcC1NrUd,Exp,Ctrl,1,ClickHighDeg,X1,433,2,5
R_25ZAlyZ4JbMsmjY,Exp,Ctrl,1,ClickHighDeg,X1,437,2,8
R_3D8EknclrlmOC7O,Exp,Ctrl,1,ClickHighDeg,X1,434,1,2
R_3q9GgzKbk1Otp5O,Exp,Ctrl,1,ClickHighDeg,X1,396,1,2
R_qU6wX1va4fIlkbv,Exp,Ctrl,1,ClickHighDeg,X1,478,1,2
R_1HbfKcFKifrMMlc,Exp,Ctrl,1,ClickHighDeg,X1,435,3,3
R_b7rKdHburf18qWJ,Exp,Ctrl,1,ClickHighDeg,X1,403,1,5
R_1GIwzHXFwM5GaAN,Exp,Ctrl,1,ClickHighDeg,X1,383,3,8
R_3CTSa5wMpWHZtWE,Exp,Ctrl,1,ClickHighDeg,X1,435,1,5
R_2anUpyXVLx94k1W,Exp,Ctrl,1,ClickHighDeg,X1,478,3,7
R_2qa3hYvHBBxnKIN,Exp,Ctrl,1,ClickHighDeg,X1,159,1,5
R_SNTJVpXYyCDa1mp,Exp,Ctrl,1,ClickHighDeg,X1,387,1,6
R_1C6ZLfppnr2hHJ3,Exp,Ctrl,1,ClickHighDeg,X1,383,3,2
R_8d1VqNkok6YG0zD,Exp,Ctrl,1,ClickHighDeg,X1,381,3,1
R_1PRB2ZJPaDyYg5u,Exp,Ctrl,1,ClickHighDeg,X1,436,1,8
R_x8YEnmKnNoodq4p,Exp,Ctrl,1,ClickHighDeg,X1,437,1,6
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,ClickHighDeg,Y1,493,2,5
R_2CJlxPVOq40Kmxe,Exp,Ctrl,1,ClickHighDeg,Y1,544,2,2
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,ClickHighDeg,Y1,489,2,8
R_3Jx9Rmx7OIyFX2Q,Exp,Ctrl,1,ClickHighDeg,Y1,550,1,8
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,ClickHighDeg,Y1,487,3,4
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,ClickHighDeg,Y1,490,3,5
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,ClickHighDeg,Y1,578,2,8
R_245HR5qf4i26YuB,Exp,Ctrl,1,ClickHighDeg,Y1,543,2,6
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,ClickHighDeg,Y1,489,3,1
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,ClickHighDeg,Y1,546,2,4
R_1r9qJKxToNfDv4T,Exp,Ctrl,1,ClickHighDeg,Y1,485,3,2
R_10IubgweXpWotmV,Exp,Ctrl,1,ClickHighDeg,Y1,580,2,6
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,ClickHighDeg,Y1,573,1,4
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,ClickHighDeg,Y1,369,1,6
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,ClickHighDeg,Y1,365,1,3
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,ClickHighDeg,Y1,576,2,3
R_uet7UtnWMSL9e93,Exp,Ctrl,1,ClickHighDeg,Y1,370,1,6
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,ClickHighDeg,Y1,548,3,5
R_Cmol1id0CtT1nvH,Exp,Ctrl,1,ClickHighDeg,Y1,371,1,7
R_PI124y0stIWTPEJ,Exp,Ctrl,1,ClickHighDeg,Y1,366,1,7
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,ClickHighDeg,Y1,487,2,6
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,ClickHighDeg,Y1,367,3,8
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,ClickHighDeg,Y1,368,1,4
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,ClickHighDeg,Y1,486,2,9
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,ClickHighDeg,Y1,488,2,2
R_b43e3ri4GTS9iOR,Exp,Ctrl,1,ClickHighDeg,Y1,489,2,3
R_sNWCgNnh8BjhxlL,Exp,Ctrl,1,ClickHighDeg,Y1,547,3,7
R_3RqKAcO9ROqWqN8,Exp,Ctrl,1,ClickHighDeg,Y1,547,3,1
R_1IuAyejJJGlWyM2,Exp,Ctrl,1,ClickHighDeg,Y1,548,2,7
R_QgOzhzGgb18gj9T,Exp,Ctrl,1,ClickHighDeg,Y1,577,1,1
R_3qjNDydmEsYhWPf,Exp,Ctrl,1,ClickHighDeg,Y1,548,1,4
R_aiaGnR9abM343Hb,Exp,Ctrl,1,ClickHighDeg,Y1,491,1,4
R_1DzNm3T7cdPfJOF,Exp,Ctrl,1,ClickHighDeg,Y1,575,1,8
R_2SicdlEiS4QFlxC,Exp,Ctrl,1,ClickHighDeg,Y1,494,1,6
R_2pQqNuyAcftDMeo,Exp,Ctrl,1,ClickHighDeg,Y1,439,3,2
R_Q5IrI9t8qil4nmN,Exp,Ctrl,1,ClickHighDeg,Y1,370,1,6
R_z6BS2dmBgIWvJNn,Exp,Ctrl,1,ClickHighDeg,Y1,369,2,7
R_1CI3aCGE5xKCFCj,Exp,Ctrl,1,ClickHighDeg,Y1,576,3,5
R_2fwjQEliDHspYNx,Exp,Ctrl,1,ClickHighDeg,Y1,575,3,5
R_x4scLYm0fIiArnj,Exp,Ctrl,1,ClickHighDeg,Y1,575,1,3
R_337NYq2bxJfecSN,Exp,Ctrl,1,ClickHighDeg,Y1,547,3,3
R_2YynfVWT2jq4LyT,Exp,Ctrl,1,ClickHighDeg,Y1,369,3,4
R_2zNIzg2C6m2qsBI,Exp,Ctrl,1,ClickHighDeg,Y1,545,3,7
R_RnmRhX6Xw5EGdcB,Exp,Ctrl,1,ClickHighDeg,Y1,577,1,2
R_UfOSvzbMxnRgwDL,Exp,Ctrl,1,ClickHighDeg,Y1,547,3,2
R_2qr7KgyabK6sQ8w,Exp,Ctrl,1,ClickHighDeg,Y1,487,2,3
R_2b15UKnjwpnBStk,Exp,Ctrl,1,ClickHighDeg,Y1,549,2,7
R_p4wUuqXU6Gwvdsd,Exp,Ctrl,1,ClickHighDeg,Y1,545,2,9
R_3P655E62t7ufi2T,Exp,Ctrl,1,ClickHighDeg,Y1,579,2,6
R_9BSXN7lOzq3H5kd,Exp,Ctrl,1,ClickHighDeg,Y1,367,1,1
R_2E66vKkii2jLqm7,Exp,Ctrl,1,ClickHighDeg,Y1,541,2,1
