Demo-ResponseID,QType,Condition,Dataset,Attempt,DatasetOrder,TaskOrder,Click_X,Click_Y,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,MaxNodeRank,correct,Distance,MinResp,MaxResp,NormResponse,NormCorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,Underestimated,filename,Stats-Q_TotalDuration,Stats-dataset_count,Stats-CompensationCondition,Stats-ResearcherCode,Stats-Group,Stats-BrowserName,Stats-BrowserVersion,Stats-OperatingSystem,Stats-ScreenResolution,Stats-FlashVersion,Stats-JavaSupport,Stats-UserAgent,Stats-Course,Demo-age,Demo-gender,Demo-lang,Demo-lang_TEXT,Demo-educ,Demo-educ_TEXT,Demo-acfield,Demo-acfieldother,Demo-dailytech_Computer,Demo-dailytech_Tablet,Demo-dailytech_SmartPhone,Demo-weeklygaming,Demo-expdataanal,Demo-expdatavis,Demo-expreadnetvis,Demo-expcreatenetvis,Demo-addlcomments,NetVisExperience,DatasetDuration,DatasetStartTime
R_00QI9tEVok6cpJ7,Exp,Ctrl,3,1,3,3,339,288,10,Ctrl_3_163_138.2,163,138.2,339.5833333333333,287.9166666666667,10,ClickHighDeg,1,10,TRUE,0.5892556509887682,2,10,1,1,0,0,0,0,correct,MTurkFinal,1095,3,NA,NA,control,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,27.0.0,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,31,Male,English,NA,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,NA,Low,166,884
R_00QI9tEVok6cpJ7,Exp,Ctrl,5,1,1,5,425,355,51,Ctrl_5_204.4_170,204.4,170,425.8333333333333,354.1666666666667,51,ClickHighDeg,1,12,TRUE,1.1785113019775524,2,51,1,1,0,0,0,0,correct,MTurkFinal,1095,3,NA,NA,control,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,27.0.0,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,31,Male,English,NA,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,NA,Low,220,305
R_00QI9tEVok6cpJ7,Exp,Ctrl,9,1,2,5,465,293,34,Ctrl_9_223.1_141.1,223.1,141.1,464.7916666666667,293.9583333333333,27,ClickHighDeg,2,21,FALSE,0.9807168579949624,5,34,0.7586206896551724,1,-0.24137931034482762,0.24137931034482762,0.24137931034482762,0.09390450286833119,under,MTurkFinal,1095,3,NA,NA,control,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,27.0.0,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,31,Male,English,NA,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,NA,Low,359,525
R_00QI9tEVok6cpJ7,Training,Ctrl,0,1,0,2,393,473,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,5,FALSE,2.0318642233727546,1,6,0.6,1,-0.4,0.4,0.4,0.146128035678238,under,MTurkFinal,1095,3,NA,NA,control,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,27.0.0,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,31,Male,English,NA,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,NA,Low,204,101
R_01zssoEgr1bEecx,Exp,Ord,3,1,2,5,457,310,10,Ord_3_219.6_147.4,219.6,147.4,457.5,307.0833333333333,8,ClickHighDeg,3,10,FALSE,2.959213484094136,5,10,0.6,1,-0.4,0.4,0.4,0.146128035678238,under,MTurkFinal,2364,3,NA,NA,openord,Firefox,55.0,Windows NT 10.0,1138x640,23.0.0,NA,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,33,Female,English,NA,Professional degree,NA,Medicine,NA,8,0,1,0,None,None,None,None,none,Low,581,1274
R_01zssoEgr1bEecx,Exp,Ord,5,1,3,8,390,497,51,Ord_5_186.1_239.4,186.1,239.4,387.7083333333333,498.75,51,ClickHighDeg,1,12,TRUE,2.8834417127993412,8,51,1,1,0,0,0,0,correct,MTurkFinal,2364,3,NA,NA,openord,Firefox,55.0,Windows NT 10.0,1138x640,23.0.0,NA,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,33,Female,English,NA,Professional degree,NA,Medicine,NA,8,0,1,0,None,None,None,None,none,Low,421,1855
R_01zssoEgr1bEecx,Exp,Ord,8,1,1,6,307,409,49,Ord_8_149_197.1,149,197.1,310.4166666666667,410.625,16,ClickHighDeg,2,12,FALSE,3.7834159315506457,5,49,0.25,1,-0.75,0.75,0.75,0.24303804868629444,under,MTurkFinal,2364,3,NA,NA,openord,Firefox,55.0,Windows NT 10.0,1138x640,23.0.0,NA,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,33,Female,English,NA,Professional degree,NA,Medicine,NA,8,0,1,0,None,None,None,None,none,Low,450,824
R_01zssoEgr1bEecx,Training,Ord,0,1,0,2,423,259,6,Ord_0_202.8_123.3,202.8,123.3,422.5,256.875,6,ClickHighDeg,1,5,TRUE,2.1830311495716224,2,6,1,1,0,0,0,0,correct,MTurkFinal,2364,3,NA,NA,openord,Firefox,55.0,Windows NT 10.0,1138x640,23.0.0,NA,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:55.0) Gecko/20100101 Firefox/55.0,NA,33,Female,English,NA,Professional degree,NA,Medicine,NA,8,0,1,0,None,None,None,None,none,Low,811,13
R_02JW8bTjiC9LnaN,Exp,Cir,3,1,1,6,274,673,10,Cir_3_132.3_320.8,132.3,320.8,275.625,668.3333333333334,8,ClickHighDeg,3,10,FALSE,4.941498029725138,4,10,0.6666666666666666,1,-0.33333333333333337,0.33333333333333337,0.33333333333333337,0.1249387366083,under,MTurkFinal,1485,3,NA,NA,circle,Chrome,61.0.3163.100,Windows NT 10.0,1600x900,-1,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,65,Female,English,NA,High School diploma,NA,Skipped,NA,10,0,2,20,None,None,None,None,"This was, by far, the hardest study I have done since I started working on MTurk. Whew!",Low,426,386
R_02JW8bTjiC9LnaN,Exp,Cir,7,1,3,2,58,499,84,Cir_7_23.7668039893507_230.045010158293,23.7668039893507,230.045010158293,49.51417497781395,479.2604378297771,84,ClickHighDeg,1,21,TRUE,21.48626400701744,8,84,1,1,0,0,0,0,correct,MTurkFinal,1485,3,NA,NA,circle,Chrome,61.0.3163.100,Windows NT 10.0,1600x900,-1,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,65,Female,English,NA,High School diploma,NA,Skipped,NA,10,0,2,20,None,None,None,None,"This was, by far, the hardest study I have done since I started working on MTurk. Whew!",Low,247,1150
