Demo-ResponseID,QType,Condition,Dataset,Task,Response,DatasetOrder,TaskOrder,CorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,ClustConf
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,NumHighDegree,22,2,8,29,-7,7,0.2413793103448276,0.9030899869919435,NA
R_2CJlxPVOq40Kmxe,Exp,Ctrl,1,NumHighDegree,30,2,8,29,1,1,0.034482758620689655,0.3010299956639812,NA
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,NumHighDegree,100,2,7,29,71,71,2.4482758620689653,1.8573324964312685,NA
R_3Jx9Rmx7OIyFX2Q,Exp,Ctrl,1,NumHighDegree,20,1,3,29,-9,9,0.3103448275862069,1,NA
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,NumHighDegree,60,3,7,29,31,31,1.0689655172413792,1.505149978319906,NA
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,NumHighDegree,25,3,7,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,NumHighDegree,20,2,1,29,-9,9,0.3103448275862069,1,NA
R_245HR5qf4i26YuB,Exp,Ctrl,1,NumHighDegree,30,2,8,29,1,1,0.034482758620689655,0.3010299956639812,NA
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,NumHighDegree,200,3,5,29,171,171,5.896551724137931,2.2355284469075487,NA
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,NumHighDegree,20,2,5,29,-9,9,0.3103448275862069,1,NA
R_10IubgweXpWotmV,Exp,Ctrl,1,NumHighDegree,25,2,1,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,NumHighDegree,15,1,2,29,-14,14,0.4827586206896552,1.1760912590556813,NA
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,NumHighDegree,20,1,5,29,-9,9,0.3103448275862069,1,NA
R_2WO6qswPY1xZfmu,Exp,Ctrl,1,NumHighDegree,30,2,6,29,1,1,0.034482758620689655,0.3010299956639812,NA
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,NumHighDegree,40,1,1,29,11,11,0.3793103448275862,1.0791812460476249,NA
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,NumHighDegree,12,2,9,29,-17,17,0.5862068965517241,1.255272505103306,NA
R_uet7UtnWMSL9e93,Exp,Ctrl,1,NumHighDegree,20,1,4,29,-9,9,0.3103448275862069,1,NA
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,NumHighDegree,40,3,4,29,11,11,0.3793103448275862,1.0791812460476249,NA
R_PI124y0stIWTPEJ,Exp,Ctrl,1,NumHighDegree,20,1,6,29,-9,9,0.3103448275862069,1,NA
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,NumHighDegree,80,2,8,29,51,51,1.7586206896551724,1.7160033436347992,NA
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,NumHighDegree,28,3,6,29,-1,1,0.034482758620689655,0.3010299956639812,NA
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,NumHighDegree,20,1,3,29,-9,9,0.3103448275862069,1,NA
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,NumHighDegree,24,2,1,29,-5,5,0.1724137931034483,0.7781512503836436,NA
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,NumHighDegree,25,2,1,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_b43e3ri4GTS9iOR,Exp,Ctrl,1,NumHighDegree,40,2,4,29,11,11,0.3793103448275862,1.0791812460476249,NA
R_sNWCgNnh8BjhxlL,Exp,Ctrl,1,NumHighDegree,1e3,3,4,29,971,971,33.48275862068966,2.9876662649262746,NA
R_3RqKAcO9ROqWqN8,Exp,Ctrl,1,NumHighDegree,26,3,3,29,-3,3,0.10344827586206896,0.6020599913279624,NA
R_1IuAyejJJGlWyM2,Exp,Ctrl,1,NumHighDegree,25,2,3,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_QgOzhzGgb18gj9T,Exp,Ctrl,1,NumHighDegree,120,1,5,29,91,91,3.1379310344827585,1.9637878273455553,NA
R_3qjNDydmEsYhWPf,Exp,Ctrl,1,NumHighDegree,20,1,1,29,-9,9,0.3103448275862069,1,NA
R_aiaGnR9abM343Hb,Exp,Ctrl,1,NumHighDegree,17,1,7,29,-12,12,0.41379310344827586,1.1139433523068367,NA
R_1DzNm3T7cdPfJOF,Exp,Ctrl,1,NumHighDegree,36,1,9,29,7,7,0.2413793103448276,0.9030899869919435,NA
R_2SicdlEiS4QFlxC,Exp,Ctrl,1,NumHighDegree,17,1,4,29,-12,12,0.41379310344827586,1.1139433523068367,NA
R_2pQqNuyAcftDMeo,Exp,Ctrl,1,NumHighDegree,125,3,1,29,96,96,3.310344827586207,1.9867717342662448,NA
R_Q5IrI9t8qil4nmN,Exp,Ctrl,1,NumHighDegree,25,1,3,29,-4,4,0.13793103448275862,0.6989700043360189,NA
R_z6BS2dmBgIWvJNn,Exp,Ctrl,1,NumHighDegree,20,2,5,29,-9,9,0.3103448275862069,1,NA
R_1CI3aCGE5xKCFCj,Exp,Ctrl,1,NumHighDegree,50,3,1,29,21,21,0.7241379310344828,1.3424226808222062,NA
R_2fwjQEliDHspYNx,Exp,Ctrl,1,NumHighDegree,15,3,9,29,-14,14,0.4827586206896552,1.1760912590556813,NA
R_x4scLYm0fIiArnj,Exp,Ctrl,1,NumHighDegree,40,1,6,29,11,11,0.3793103448275862,1.0791812460476249,NA
R_2YynfVWT2jq4LyT,Exp,Ctrl,1,NumHighDegree,25,3,1,29,-4,4,0.13793103448275862,0.6989700043360189,NA
