QuestionOrder,Demo-ResponseID,Condition,Dataset,Task,Response,NormResponse,DatasetOrder,DatasetDuration,DatasetStartTime,TaskOrder,CorrectAnswer,NormCorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,Underestimated,ClustConf,filename,Stats-Q_TotalDuration,Stats-dataset_count,Stats-CompensationCondition,Stats-OperatingSystem,StatsScreenWidth,StatsScreenHeight,Demo-age,Demo-gender,Demo-lang,Demo-educ,Demo-educ_TEXT,Demo-acfield,Demo-acfieldother,Demo-dailytech_Computer,Demo-dailytech_Tablet,Demo-dailytech_SmartPhone,Demo-weeklygaming,Demo-expdataanal,Demo-expdatavis,Demo-expreadnetvis,Demo-expcreatenetvis,NetVisExperience,Attempt,NodeRank,MaxNodeRank,StatsNumPixels,AvgDeg,Density,LargeClust1,Modularity,NumClust,NumHighDegree,NumLinks,NumNodes,NumNodesClust1
9,R_00QI9tEVok6cpJ7,Ctrl,9,NumHighDegree,27,0.15172413793103448,2,359,525,1,34,0.2,-0.04827586206896553,0.04827586206896553,0.24137931034482765,0.020475585709797694,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
10,R_00QI9tEVok6cpJ7,Ctrl,9,NumClust,15,0.048507462686567165,2,359,525,3,19,0.06343283582089553,-0.01492537313432836,0.01492537313432836,0.23529411764705885,0.006434110005409903,under,Somewhat doubtful (26-50%),MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
11,R_00QI9tEVok6cpJ7,Ctrl,9,LargeClust1,29,0.390625,2,359,525,4,15.303430079155673,0.1766160949868074,0.2140089050131926,0.2140089050131926,1.2117180205415499,0.08422187239319816,over,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
12,R_00QI9tEVok6cpJ7,Ctrl,9,ClickHighDeg,27,0.7586206896551724,2,359,525,5,34,1,-0.24137931034482762,0.24137931034482762,0.24137931034482762,0.09390450286833119,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,1,2,21,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
13,R_00QI9tEVok6cpJ7,Ctrl,9,NumNodes,175,0.1716867469879518,2,359,525,6,379,0.37650602409638556,-0.20481927710843376,0.20481927710843376,0.544,0.08092190762392613,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
14,R_00QI9tEVok6cpJ7,Ctrl,9,AvgDeg,4,0.0066815144766146995,2,359,525,7,4.823218997361478,0.008514964359379682,-0.0018334498827649827,0.0018334498827649827,0.2153209109730848,7.955281091176178e-4,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
15,R_00QI9tEVok6cpJ7,Ctrl,9,NumLinks,200,0.09683893627696939,2,359,525,8,914,0.45509282488710484,-0.35825388861013546,0.35825388861013546,0.7872105843439912,0.13298095707001878,under,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,NA,NA,NA,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
16,R_00QI9tEVok6cpJ7,Ctrl,9,BC,28300.56447421692,1,2,359,525,9,28300.56447421692,1,0,0,0,0,correct,NA,MTurkFinal,1095,3,NA,Windows NT 10.0,1920,1080,31,Male,English,High School diploma,NA,Skipped,NA,12,0,0,10,None,None,None,None,Low,4,1,107,2073600,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
57,R_02JW8bTjiC9LnaN,Cir,9,NumLinks,75,0.008383383383383384,2,338,812,1,914,0.11336336336336336,-0.10497997997997997,0.10497997997997997,0.9260485651214128,0.043354409547838986,under,NA,MTurkFinal,1485,3,NA,Windows NT 10.0,1600,900,65,Female,English,High School diploma,NA,Skipped,NA,10,0,2,20,None,None,None,None,Low,NA,NA,NA,1440000,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
58,R_02JW8bTjiC9LnaN,Cir,9,NumClust,1,0,2,338,812,2,19,0.045112781954887216,-0.045112781954887216,0.045112781954887216,1,0.019163159287009242,under,Somewhat confident (51-75%),MTurkFinal,1485,3,NA,Windows NT 10.0,1600,900,65,Female,English,High School diploma,NA,Skipped,NA,10,0,2,20,None,None,None,None,Low,NA,NA,NA,1440000,4.823218997361478,0.012759838617358406,15.303430079155673,0.8377212723067863,19,34,914,379,58
