filename,Demo-ResponseID,Dataset,DatasetDuration,DatasetStartTime,Stats-Group,DatasetOrder,NetVisExperience
FacultyGrad,R_0UIpYxjoSUtn5aV,0,355,21,control,0,High
FacultyGrad,R_0UIpYxjoSUtn5aV,1,229,376,control,1,High
FacultyGrad,R_0UIpYxjoSUtn5aV,7,147,777,control,3,High
FacultyGrad,R_0UIpYxjoSUtn5aV,9,172,605,control,2,High
FacultyGrad,R_10IubgweXpWotmV,0,691,17,control,0,High
FacultyGrad,R_10IubgweXpWotmV,1,215,1860,control,2,High
FacultyGrad,R_10IubgweXpWotmV,7,1152,708,control,1,High
FacultyGrad,R_10IubgweXpWotmV,9,553,2075,control,3,High
FacultyGrad,R_1BQwOBQU5oapE5n,0,363,41,circle,0,High
FacultyGrad,R_1BQwOBQU5oapE5n,1,163,587,circle,2,High
FacultyGrad,R_1BQwOBQU5oapE5n,7,122,750,circle,3,High
FacultyGrad,R_1BQwOBQU5oapE5n,9,183,404,circle,1,High
FacultyGrad,R_1dzAhMTyewslW9x,0,210,26,openord,0,High
FacultyGrad,R_1dzAhMTyewslW9x,1,118,379,openord,2,High
FacultyGrad,R_1dzAhMTyewslW9x,7,143,236,openord,1,High
FacultyGrad,R_1dzAhMTyewslW9x,9,142,497,openord,3,High
FacultyGrad,R_1eCxEeBOx2YYlnG,0,146,19,control,0,High
FacultyGrad,R_1eCxEeBOx2YYlnG,1,97,277,control,2,High
FacultyGrad,R_1eCxEeBOx2YYlnG,7,112,165,control,1,High
FacultyGrad,R_1eCxEeBOx2YYlnG,9,114,374,control,3,High
FacultyGrad,R_1FwEFC7xGiRfKsD,0,246,36,frucht,0,High
FacultyGrad,R_1FwEFC7xGiRfKsD,1,282,282,frucht,1,High
FacultyGrad,R_1FwEFC7xGiRfKsD,7,219,782,frucht,3,High
FacultyGrad,R_1FwEFC7xGiRfKsD,9,218,564,frucht,2,High
FacultyGrad,R_1K3aKeMbIaEJ47k,0,270,23,circle,0,High
FacultyGrad,R_1K3aKeMbIaEJ47k,1,322,293,circle,1,High
FacultyGrad,R_1K3aKeMbIaEJ47k,7,286,615,circle,2,High
FacultyGrad,R_1K3aKeMbIaEJ47k,9,273,901,circle,3,High
FacultyGrad,R_1KjPG5InY4cWe9q,0,271,9,frucht,0,High
FacultyGrad,R_1kUNKdrtFIWsbQV,0,343,35,control,0,High
FacultyGrad,R_1kUNKdrtFIWsbQV,1,197,614,control,2,High
FacultyGrad,R_1kUNKdrtFIWsbQV,7,216,811,control,3,High
FacultyGrad,R_1kUNKdrtFIWsbQV,9,236,378,control,1,High
FacultyGrad,R_1LiKhFg1Ndfoemx,0,190,39,control,0,High
FacultyGrad,R_1LiKhFg1Ndfoemx,1,177,704,control,3,High
