filename,Demo-ResponseID,Stats-Q_TotalDuration,Stats-dataset_count,Stats-CompensationCondition,Stats-ResearcherCode,Stats-Group,Stats-BrowserName,Stats-BrowserVersion,Stats-OperatingSystem,Stats-ScreenResolution,Stats-FlashVersion,Stats-JavaSupport,Stats-UserAgent,Stats-Course,Demo-age,Demo-gender,Demo-lang,Demo-lang_TEXT,Demo-educ,Demo-educ_TEXT,Demo-acfield,Demo-acfieldother,Demo-dailytech_Computer,Demo-dailytech_Tablet,Demo-dailytech_SmartPhone,Demo-weeklygaming,Demo-expdataanal,Demo-expdatavis,Demo-expreadnetvis,Demo-expcreatenetvis,Demo-addlcomments,NetVisExperience
FacultyGrad,R_1ou6l7qiLdWVo7g,1053,3,GiftCard,444444444,circle,Chrome,61.0.3163.100,Macintosh,1280x800,-1,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,49,Male,English,NA,Doctorate degree,NA,Other,Visualization,5,NA,2,0,A lot,A lot,Some,Some,Circular layouts are not nice.,High
FacultyGrad,R_1dzAhMTyewslW9x,725,3,GiftCard,356408,openord,Chrome,61.0.3163.100,Windows NT 10.0,1920x1080,-1,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,39,Female,English,NA,Doctorate degree,NA,Anthropology,NA,6,NA,1,0,Some,A little,A little,A little,"i screwed up and didnt' read one of the instructions closely enough, so i probably did poorly at estimating number of edges",High
FacultyGrad,R_1eCxEeBOx2YYlnG,547,3,Donation,714474,control,Safari,11.0,Macintosh,2560x1440,-1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38",NA,67,Male,English,NA,Doctorate degree,NA,Psychology,NA,6,1,1,0,A lot,Some,A little,A little,NA,High
FacultyGrad,R_2CJlxPVOq40Kmxe,816,3,GiftCard,425941,control,Chrome,61.0.3163.100,Macintosh,1440x900,-1,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,45,Male,English,NA,Doctorate degree,NA,Other,NA,8,3,4,3,A lot,Some,A little,A little,NA,High
FacultyGrad,R_Y5et5qIwBPCZGX7,1259,3,Donation,687461,openord,Chrome,61.0.3163.100,Macintosh,1280x800,-1,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,57,Male,English,NA,Doctorate degree,NA,Philosophy,NA,10,1,6,0,Some,Some,Some,Some,"Number clusters is dependent on a clustering coefficient, so the question how many clusters not well defined.",High
FacultyGrad,R_7V9OhoDeIP3Vsk1,757,3,GiftCard,148888,openord,Safari,11.0,Macintosh,1440x900,24.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Safari/604.1.38",NA,31,Female,English,NA,Doctorate degree,NA,Sociology,NA,11,1,8,0,A lot,A little,A little,A little,"I'm primarily an egocentric network researcher, so I don't often deal with clustering or describing images of this kind.",High
FacultyGrad,R_24vK9Ysod7NA3HT,1049,3,Donation,742317,control,MSIE,11.0,Windows NT 6.1,1536x960,24.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; Zoom 3.6.0; rv:11.0) like Gecko,NA,64,Male,English,NA,Professional degree,NA,Medicine,NA,10,3,3,1,Some,None,A little,None,NA,High
FacultyGrad,R_V4FZf1zyZ9ityed,672,3,GiftCard,447752,openord,Chrome,59.0.3071.115,Macintosh,1280x800,-1,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",NA,25,Male,English,NA,Doctorate degree,NA,Other,Complex Systems,8,NA,1,1,Some,A little,A lot,A lot,NA,High
FacultyGrad,R_3Jx9Rmx7OIyFX2Q,601,3,GiftCard,233694,control,Chrome,61.0.3163.100,Macintosh,1280x800,-1,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,26,Male,Chinese,NA,Doctorate degree,NA,Information science,NA,12,1,15,5,A lot,A little,A lot,A little,NA,High
FacultyGrad,R_1oz3Y412KTkPirk,1346,3,GiftCard,251518,frucht,Chrome,61.0.3163.100,Windows NT 10.0,1368x912,-1,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",NA,40,Do not wish to disclose,Other,NA,Doctorate degree,NA,Skipped,NA,6,NA,0,0,A little,A little,A little,None,NA,High
