source,target,filename
Cir_1_158.6_19.2,Cir_1_96.7_310.7,Cir_1
Cir_1_158.6_19.2,Cir_1_253.3_310.7,Cir_1
Cir_1_126.6_26,Cir_1_158.6_19.2,Cir_1
Cir_1_126.6_26,Cir_1_96.7_39.3,Cir_1
Cir_1_126.6_26,Cir_1_318.1_238.7,Cir_1
Cir_1_126.6_26,Cir_1_21.8_142.4,Cir_1
Cir_1_126.6_26,Cir_1_18.3_175,Cir_1
Cir_1_126.6_26,Cir_1_31.9_238.7,Cir_1
Cir_1_126.6_26,Cir_1_48.3_267.1,Cir_1
Cir_1_126.6_26,Cir_1_96.7_310.7,Cir_1
Cir_1_126.6_26,Cir_1_126.6_324,Cir_1
Cir_1_126.6_26,Cir_1_191.4_330.8,Cir_1
Cir_1_126.6_26,Cir_1_223.4_324,Cir_1
Cir_1_126.6_26,Cir_1_253.3_310.7,Cir_1
Cir_1_126.6_26,Cir_1_279.8_291.4,Cir_1
Cir_1_96.7_39.3,Cir_1_158.6_19.2,Cir_1
Cir_1_96.7_39.3,Cir_1_31.9_238.7,Cir_1
Cir_1_96.7_39.3,Cir_1_96.7_310.7,Cir_1
Cir_1_96.7_39.3,Cir_1_191.4_330.8,Cir_1
Cir_1_96.7_39.3,Cir_1_223.4_324,Cir_1
Cir_1_96.7_39.3,Cir_1_253.3_310.7,Cir_1
Cir_1_70.2_58.6,Cir_1_158.6_19.2,Cir_1
Cir_1_70.2_58.6,Cir_1_126.6_26,Cir_1
Cir_1_70.2_58.6,Cir_1_96.7_39.3,Cir_1
Cir_1_70.2_58.6,Cir_1_31.9_111.3,Cir_1
Cir_1_70.2_58.6,Cir_1_318.1_238.7,Cir_1
Cir_1_70.2_58.6,Cir_1_21.8_142.4,Cir_1
Cir_1_70.2_58.6,Cir_1_328.2_207.6,Cir_1
Cir_1_70.2_58.6,Cir_1_18.3_175,Cir_1
Cir_1_70.2_58.6,Cir_1_21.8_207.6,Cir_1
Cir_1_70.2_58.6,Cir_1_31.9_238.7,Cir_1
Cir_1_70.2_58.6,Cir_1_48.3_267.1,Cir_1
Cir_1_70.2_58.6,Cir_1_70.2_291.4,Cir_1
Cir_1_70.2_58.6,Cir_1_96.7_310.7,Cir_1
Cir_1_70.2_58.6,Cir_1_126.6_324,Cir_1
