NodeID,Condition,Dataset,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted
Cir_0_110.7_19.7,Cir,0,110.7,19.7,230.625,41.041666666666664
Cir_0_19.7_239.3,Cir,0,19.7,239.3,41.041666666666664,498.5416666666667
Cir_0_110.7_330.3,Cir,0,110.7,330.3,230.625,688.125
Cir_0_330.3_239.3,Cir,0,330.3,239.3,688.125,498.5416666666667
Cir_0_19.7_110.7,Cir,0,19.7,110.7,41.041666666666664,230.625
Cir_1_22.7_207.4,Cir,1,22.7,207.4,47.291666666666664,432.0833333333333
Cir_1_32.7_238.4,Cir,1,32.7,238.4,68.125,496.6666666666667
Cir_1_49_266.6,Cir,1,49,266.6,102.08333333333333,555.4166666666666
Cir_1_70.8_290.7,Cir,1,70.8,290.7,147.5,605.625
Cir_1_126.9_26.9,Cir,1,126.9,26.9,264.375,56.041666666666664
Cir_1_97.1_309.9,Cir,1,97.1,309.9,202.29166666666666,645.625
Cir_1_126.9_323.1,Cir,1,126.9,323.1,264.375,673.125
Cir_1_97.1_40.1,Cir,1,97.1,40.1,202.29166666666666,83.54166666666667
Cir_1_158.7_329.9,Cir,1,158.7,329.9,330.625,687.2916666666666
Cir_1_70.8_59.3,Cir,1,70.8,59.3,147.5,123.54166666666667
Cir_1_191.3_329.9,Cir,1,191.3,329.9,398.5416666666667,687.2916666666666
Cir_1_223.1_323.1,Cir,1,223.1,323.1,464.7916666666667,673.125
Cir_1_252.9_40.1,Cir,1,252.9,40.1,526.875,83.54166666666667
Cir_1_252.9_309.9,Cir,1,252.9,309.9,526.875,645.625
Cir_1_279.2_290.7,Cir,1,279.2,290.7,581.6666666666666,605.625
Cir_1_301_266.6,Cir,1,301,266.6,627.0833333333334,555.4166666666666
Cir_1_49_83.4,Cir,1,49,83.4,102.08333333333333,173.75
Cir_1_32.7_111.6,Cir,1,32.7,111.6,68.125,232.5
Cir_1_327.4_207.4,Cir,1,327.4,207.4,682.0833333333334,432.0833333333333
Cir_1_22.7_142.6,Cir,1,22.7,142.6,47.291666666666664,297.0833333333333
Cir_1_158.7_20.1,Cir,1,158.7,20.1,330.625,41.875
Cir_1_19.3_175,Cir,1,19.3,175,40.208333333333336,364.5833333333333
Cir_1_330.7_175,Cir,1,330.7,175,688.9583333333334,364.5833333333333
Cir_1_327.4_142.6,Cir,1,327.4,142.6,682.0833333333334,297.0833333333333
Cir_1_317.3_111.6,Cir,1,317.3,111.6,661.0416666666666,232.5
Cir_1_301_83.4,Cir,1,301,83.4,627.0833333333334,173.75
Cir_3_167.8_21.4,Cir,3,167.8,21.4,349.5833333333333,44.583333333333336
Cir_3_21.3_171.3,Cir,3,21.3,171.3,44.375,356.875
Cir_3_30.7_227.9,Cir,3,30.7,227.9,63.958333333333336,474.7916666666667
Cir_3_323.6_214.1,Cir,3,323.6,214.1,674.1666666666666,446.0416666666667
Cir_3_33.3_115.3,Cir,3,33.3,115.3,69.375,240.20833333333334
Cir_3_65_67.5,Cir,3,65,67.5,135.41666666666666,140.625
Cir_3_43.1_253.8,Cir,3,43.1,253.8,89.79166666666667,528.75
Cir_3_316.7_115.3,Cir,3,316.7,115.3,659.7916666666666,240.20833333333334
Cir_3_51.1_265.9,Cir,3,51.1,265.9,106.45833333333333,553.9583333333334
