Condition,Dataset,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct
Cir,1,29,Cir_1_158.6_19.2,158.6,19.2,330.4166666666667,40,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_126.6_26,126.6,26,263.75,54.166666666666664,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_96.7_39.3,96.7,39.3,201.45833333333334,81.875,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_70.2_58.6,70.2,58.6,146.25,122.08333333333333,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_301.7_267.1,301.7,267.1,628.5416666666666,556.4583333333334,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_48.3_82.9,48.3,82.9,100.625,172.70833333333334,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_31.9_111.3,31.9,111.3,66.45833333333333,231.875,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_318.1_238.7,318.1,238.7,662.7083333333334,497.2916666666667,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_21.8_142.4,21.8,142.4,45.416666666666664,296.6666666666667,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_328.2_207.6,328.2,207.6,683.75,432.5,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_18.3_175,18.3,175,38.125,364.5833333333333,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_21.8_207.6,21.8,207.6,45.416666666666664,432.5,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_279.8_58.6,279.8,58.6,582.9166666666666,122.08333333333333,2,ClickHighDeg,5,FALSE
Cir,1,29,Cir_1_31.9_238.7,31.9,238.7,66.45833333333333,497.2916666666667,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_48.3_267.1,48.3,267.1,100.625,556.4583333333334,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_70.2_291.4,70.2,291.4,146.25,607.0833333333334,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_328.2_142.4,328.2,142.4,683.75,296.6666666666667,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_126.6_324,126.6,324,263.75,675,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_158.6_330.8,158.6,330.8,330.4166666666667,689.1666666666666,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_318.1_111.3,318.1,111.3,662.7083333333334,231.875,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_253.3_39.3,253.3,39.3,527.7083333333334,81.875,29,ClickHighDeg,1,TRUE
Cir,1,29,Cir_1_301.7_82.9,301.7,82.9,628.5416666666666,172.70833333333334,26,ClickHighDeg,2,FALSE
Cir,1,29,Cir_1_191.4_330.8,191.4,330.8,398.75,689.1666666666666,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_223.4_324,223.4,324,465.4166666666667,675,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_253.3_310.7,253.3,310.7,527.7083333333334,647.2916666666666,25,ClickHighDeg,3,FALSE
Cir,1,29,Cir_1_279.8_291.4,279.8,291.4,582.9166666666666,607.0833333333334,25,ClickHighDeg,3,FALSE
Ctrl,0,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE
Ctrl,0,6,Ctrl_0_318.2_122.8,318.2,122.8,662.9166666666666,255.83333333333334,2,ClickHighDeg,4,FALSE
Ctrl,0,6,Ctrl_0_133.4_210,133.4,210,277.9166666666667,437.5,5,ClickHighDeg,2,FALSE
Ctrl,0,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE
Ctrl,0,6,Ctrl_0_180.6_279.3,180.6,279.3,376.25,581.875,4,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_144.1_289.4,144.1,289.4,300.2083333333333,602.9166666666666,26,ClickHighDeg,2,FALSE
Ctrl,1,29,Ctrl_1_184.1_176.3,184.1,176.3,383.5416666666667,367.2916666666667,29,ClickHighDeg,1,TRUE
Ctrl,1,29,Ctrl_1_209_276.4,209,276.4,435.4166666666667,575.8333333333334,26,ClickHighDeg,2,FALSE
Ctrl,1,29,Ctrl_1_174.7_237.5,174.7,237.5,363.9583333333333,494.7916666666667,26,ClickHighDeg,2,FALSE
Ctrl,1,29,Ctrl_1_232.9_208.5,232.9,208.5,485.2083333333333,434.375,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_163.3_277.5,163.3,277.5,340.2083333333333,578.125,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_218.8_189.3,218.8,189.3,455.8333333333333,394.375,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_238.6_293.1,238.6,293.1,497.0833333333333,610.625,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_247.4_260.9,247.4,260.9,515.4166666666666,543.5416666666666,25,ClickHighDeg,3,FALSE
Ctrl,1,29,Ctrl_1_163.8_308.1,163.8,308.1,341.25,641.875,26,ClickHighDeg,2,FALSE
Ctrl,1,29,Ctrl_1_173.2_202.2,173.2,202.2,360.8333333333333,421.25,26,ClickHighDeg,2,FALSE
Ctrl,1,29,Ctrl_1_194.5_324.7,194.5,324.7,405.2083333333333,676.4583333333334,25,ClickHighDeg,3,FALSE
