BlockID	Condition	Dataset
FL_453	Cir	0
FL_61	Ctrl	0
FL_494	Fru	0
FL_535	Ord	0
FL_62	Phr	0
FL_63	Col	0
FL_64	Siz	0
FL_458	Cir	1
FL_243	Ctrl	1
FL_499	Fru	1
FL_540	Ord	1
	Phr	1
FL_285	Col	3
FL_299	Siz	1
	Cir	3
FL_246	Ctrl	3
	Fru	3
	Ord	3
	Phr	3
	Col	1
	Siz	3
	Cir	5
	Ctrl	5
	Fru	5
	Ord	5
	Phr	5
	Col	5
	Siz	5
FL_474	Cir	7
FL_250	Ctrl	7
FL_515	Fru	7
FL_556	Ord	7
	Phr	7
	Col	7
	Siz	7
FL_478	Cir	8
	Ctrl	8
	Fru	8
	Ord	8
	Phr	8
	Col	8
	Siz	8
FL_482	Cir	9
FL_252	Ctrl	9
FL_523	Fru	9
FL_564	Ord	9
FL_262	Phr	9
FL_297	Col	9
	Siz	9
